rep_id	name	size
471472.4	Chlamydia trachomatis 434/Bu	174
471870.8	Bacteroides intestinalis DSM 17393	445
483216.6	Bacteroides eggerthii DSM 20697	108
487521.10	Mycobacterium intracellulare ATCC 13950	101
511145.12	Escherichia coli str. K-12 substr. MG1655	67278
520461.7	Brucella pinnipedialis B2/94	1129
529507.6	Proteus mirabilis HI4320	457
53345.35	Enterococcus durans strain NCTC8130	130
543728.3	Variovorax paradoxus S110	100
555970.3	Bifidobacterium animalis subsp. lactis DSM 10140	170
557436.4	Lactobacillus reuteri DSM 20016	184
561229.3	Dickeya zeae Ech1591	428
568707.3	Bordetella bronchiseptica 253	1420
568814.3	Streptococcus suis BM407	1567
573569.4	Francisella sp. TX077308	136
592022.4	Bacillus megaterium DSM 319	180
644107.3	Silicibacter lacuscaerulensis ITI-1157	166
657313.3	Ruminococcus torques L2-14	104
66084.3	Wolbachia sp. wRi	748
668336.12	Aggregatibacter actinomycetemcomitans D11S-1	132
67385.5	Streptomyces xanthophaeus strain NRRL B-5414	119
675817.3	Photobacterium damselae subsp. damselae CIP 102761	132
681645.3	Corynebacterium pseudotuberculosis C231	176
698968.3	Corynebacterium diphtheriae HC02	328
702459.3	Bifidobacterium bifidum PRL2010	118
71421.8	Haemophilus influenzae Rd KW20	842
74704.5	Staphylococcus cohnii subsp. cohnii strain 532	179
749219.3	Moraxella catarrhalis RH4	189
765698.3	Mesorhizobium ciceri biovar biserrulae WSM1271	697
83332.12	Mycobacterium tuberculosis H37Rv	26397
85962.8	Helicobacter pylori 26695	1920
862514.3	Pediococcus acidilactici DSM 20284	165
871585.3	Acinetobacter calcoaceticus PHEA-2	8398
904338.3	Staphylococcus warneri VCU121	115
93061.5	Staphylococcus aureus subsp. aureus NCTC 8325	16152
937773.3	Staphylococcus pseudintermedius HKU10-03	598
990998.3	Vibrio ordalii ATCC 33509	431
997889.3	Bacteroides uniformis CL03T00C23	222
